Order ID,Side,Price,Quantity,Order Type,Owner,Timestamp
1,buy,99,100,limit,,1750383251.9799757
2,sell,101,95,limit,,1750383251.9799757
3,sell,0,0,market,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9799757
4,buy,inf,0,market,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9799757
5,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
6,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
7,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
8,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
9,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
10,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
11,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
12,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9813604
13,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
14,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
15,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
16,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
17,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
18,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
19,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
20,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
21,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
22,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9823575
23,buy,99.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9833567
24,sell,101.0,1,limit,<strategy.MarketMakingStrategy object at 0x000001931c916b70>,1750383251.9833567
